"nama_tabel","nama_kolom","tipe_data","tipe_prisma","kelompok"
"penduduk","abs_id","character varying","string","identitas_keluarga"
"penduduk","subjek","character varying","string","identitas_keluarga"
"penduduk","datamasuk","timestamp without time zone","date","identitas_keluarga"
"penduduk","enumerator","character varying","string","identitas_keluarga"
"penduduk","kode_bangunan","integer","int","identitas_keluarga"
"penduduk","kode_deskel","character varying","string","identitas_keluarga"
"penduduk","deskel","character varying","string","identitas_keluarga"
"penduduk","dusun","character varying","string","identitas_keluarga"
"penduduk","rw","integer","int","identitas_keluarga"
"penduduk","rt","integer","int","identitas_keluarga"
"penduduk","lat","character varying","string","identitas_keluarga"
"penduduk","lng","character varying","string","identitas_keluarga"
"penduduk","responden","character varying","string","identitas_keluarga"
"penduduk","nkk","character varying","string","identitas_keluarga"
"penduduk","nama","character varying","string","identitas_keluarga"
"penduduk","nik","character varying","string","identitas_keluarga"
"penduduk","alamat","text","string","identitas_keluarga"
"penduduk","status_dalam_keluarga","character varying","string","identitas_keluarga"
"penduduk","status_kawin","character varying","string","identitas_keluarga"
"penduduk","punya_ktp","character varying","string","identitas_keluarga"
"penduduk","punya_aktalahir","character varying","string","identitas_keluarga"
"penduduk","nama_kepala_rumah","character varying","string","identitas_keluarga"
"penduduk","nama_tulang_punggung","character varying","string","identitas_keluarga"
"penduduk","no_hp","character varying","string","identitas_keluarga"
"penduduk","jml_keluarga","integer","int","identitas_keluarga"
"penduduk","tgl_lahir","date","date","identitas_keluarga"
"penduduk","jk","character varying","string","identitas_keluarga"
"penduduk","thn_datang","integer","int","identitas_keluarga"
"penduduk","dinamika","character varying","string","identitas_keluarga"
"penduduk","agama","character varying","string","identitas_keluarga"
"penduduk","suku","text","string","identitas_keluarga"
"penduduk","bhs_keluarga","character varying","string","identitas_keluarga"
"penduduk","bhs_daerah","text","string","identitas_keluarga"
"penduduk","tgl_kawin","date","date","identitas_keluarga"
"penduduk","usia","numeric","float","identitas_keluarga"
"penduduk","usia_dec","numeric","float","identitas_keluarga"
"penduduk","lama_tinggal","integer","int","identitas_keluarga"
"penduduk","punya_kk","character varying","string","identitas_keluarga"
"penduduk","menetap","character varying","string","identitas_keluarga"
"penduduk","dead_jml","integer","int","identitas_keluarga"
"penduduk","akta_nikah","character varying","string","identitas_keluarga"
"penduduk","akta_cerai","character varying","string","identitas_keluarga"
"penduduk","partisipasi_sekolah","character varying","string","pendidikan_kebudayaan"
"penduduk","ijazah","character varying","string","pendidikan_kebudayaan"
"penduduk","rp_pendidikan","numeric","float","pendidikan_kebudayaan"
"penduduk","bantuan_pendidikan","character varying","string","pendidikan_kebudayaan"
"penduduk","pendidikan_anggota","integer","int","pendidikan_kebudayaan"
"penduduk","keterampilan","text","string","pendidikan_kebudayaan"
"penduduk","pelatihan","character varying","string","pendidikan_kebudayaan"
"penduduk","pelatihan_ket","text","string","pendidikan_kebudayaan"
"penduduk","refreshing","character varying","string","sandang_pangan_papan"
"penduduk","pekarangan","character varying","string","infrastruktur_lingkungan"
"penduduk","pekarangan_luas","numeric","float","infrastruktur_lingkungan"
"penduduk","pekarangan_air","character varying","string","infrastruktur_lingkungan"
"penduduk","pekarangan_tinggi","character varying","string","infrastruktur_lingkungan"
"penduduk","pekarangan_jenis","text","string","infrastruktur_lingkungan"
"penduduk","pekarangan_komoditas","text","string","infrastruktur_lingkungan"
